date,link,price,title
Sat 05 Sep 16:19:55,https://london.craigslist.org/sys/d/london-office-365-personal-1-year-sub/7190708353.html,£37,Office 365 Personal - 1 year subscription for PC/Mac
Fri 04 Sep 17:47:08,https://london.craigslist.org/sys/d/london-apple-mac-mini-2005-with-snow/7190168773.html,£30,"Apple Mac Mini (2005) with Snow Leopard, works but needs attention"
Fri 04 Sep 10:13:37,https://london.craigslist.org/sys/d/london-asus-transformer-2-in-1/7189965127.html,£100,"Asus Transformer 2-in-1 convertible, detachable tablet computer"
Thu 03 Sep 15:30:48,https://london.craigslist.org/sys/d/london-macbook-pro-retina-13-inch-early/7189444245.html,£200,"MacBook pro Retina 13 Inch, Early 2015"
Thu 03 Sep 01:09:01,https://london.craigslist.org/sys/d/london-looking-4-free-apple-mac-book/7175908223.html,£0,looking 4 FREE apple mac book
Tue 01 Sep 15:27:51,https://london.craigslist.org/sys/d/london-apple-macbook-pro-2019/7188143931.html,"£1,999",Apple MacBook Pro 2019
Mon 31 Aug 21:18:00,https://london.craigslist.org/sys/d/london-macbook-pro-15inch/7187821948.html,£500,MacBook Pro 15inch
Sat 29 Aug 12:40:02,https://london.craigslist.org/sys/d/london-looking-4-free-apple-mac-book/7168925616.html,£0,looking 4 FREE apple mac book
Thu 27 Aug 23:13:37,https://london.craigslist.org/sys/d/london-looking-4-free-apple-mac-book/7168925435.html,£0,looking 4 FREE apple mac book
Sun 23 Aug 21:03:55,https://london.craigslist.org/sys/d/london-gaming-pc/7182933523.html,£300,gaming pc
Sun 23 Aug 15:30:45,https://london.craigslist.org/sys/d/london-gaming-pc-13-games-radeon-hd/7182698869.html,£215,"Gaming PC + 13 Games + Radeon HD 6870 (i5, Fortnite, GTA 5, Computer"
Sun 23 Aug 14:54:57,https://london.craigslist.org/sys/d/london-compaq-presario-microsoft-office/7182703193.html,£65,"Compaq Presario (Microsoft Office, Photoshop, AMD, Monitor, Computer"
Fri 14 Aug 13:00:52,https://london.craigslist.org/sys/d/london-looking-4-free-apple-mac-book/7160274808.html,£0,looking 4 FREE apple mac book
Wed 12 Aug 13:23:32,https://london.craigslist.org/sys/d/london-microsoft-surface-book-gb-8gb/7158553724.html,£300,"Microsoft Surface Book 2 13.5"" 256GB 8GB, With Pen +2 Months Warranty"
Fri 07 Aug 01:45:35,https://london.craigslist.org/syd/d/london-netflix-4k/7172771049.html,£10,netflix 4k
Sat 01 Aug 11:11:15,https://london.craigslist.org/sys/d/london-acer-red-laptop/7169563769.html,£270,Acer Red Laptop
Fri 31 Jul 19:24:08,https://london.craigslist.org/sys/d/london-imac-2008-refurbished-by-apple/7169242507.html,£160,Imac 2008 refurbished by apple
Wed 29 Jul 14:25:41,https://london.craigslist.org/sys/d/london-gaming-pc-11-games-nvidia-gt-430/7167915463.html,£209,"Gaming PC + 11 Games + Nvidia GT 430 (i5, Fortnite, GTA IV, Computer"
Tue 28 Jul 15:53:29,https://london.craigslist.org/sys/d/london-gaming-pc-14-games-gtx-460-i5/7167346947.html,£269,"Gaming PC + 14 Games + GTX 460 (i5, WIFI, Monitor, Nvidia, Computer"
Fri 24 Jul 18:16:33,https://london.craigslist.org/sys/d/london-tp-link-wi-fi-range-extender/7165166202.html,£13,TP-LINK Wi-Fi Range Extender (WA850RE) 300Mbps; Plug & play
Thu 23 Jul 18:55:37,https://london.craigslist.org/sys/d/london-gaming-pc-gtx-games-i5-wifi/7164548335.html,£239,"Gaming PC + GTX 460 + 14 Games (i5, WIFI, Fortnite, Nvidia, Computer"
Thu 06 Aug 09:52:05,https://oxford.craigslist.org/sys/d/woodstock-dell-v305w-all-in-one-printer/7172344567.html,£20,Dell V305W All in One Printer
Tue 28 Jul 20:02:58,https://hampshire.craigslist.org/sys/d/southampton-hp-elitebook-8460p/7167542692.html,£125,HP  Elitebook 8460p
